time,ema(12),entry level 1,entry level 2,entry level 3,entry level 4,ema(16)
1610150400,40385.1,38769.7,37558.1,36346.6,34327.3,40369.9
1610152200,40395.7,38779.9,37568,36356.1,34336.3,40379.8
1610154000,40352.5,38738.4,37527.8,36317.2,34299.6,40348.6
1610155800,40312.6,38700.1,37490.7,36281.4,34265.7,40318.6
1610157600,40308.4,38696.1,37486.8,36277.6,34262.2,40314.7
1610159400,40260.7,38650.3,37442.4,36234.6,34221.6,40277.4
1610161200,40228.5,38619.4,37412.5,36205.7,34194.3,40250.9
1610163000,40225.5,38616.5,37409.7,36202.9,34191.7,40245.9
1610164800,40210.6,38602.1,37395.8,36189.5,34179,40232.1
1610166600,40217.4,38608.7,37402.1,36195.6,34184.8,40234.8
1610168400,40175.6,38568.6,37363.3,36158.1,34149.3,40200.8
1610170200,40072.5,38469.6,37267.4,36065.3,34061.6,40119
1610172000,39945.5,38347.7,37149.3,35950.9,33953.7,40016.4
1610173800,39819.8,38227,37032.4,35837.8,33846.8,39911.9
1610175600,39714.6,38126,36934.5,35743.1,33757.4,39820.6
1610177400,39684.1,38096.7,36906.2,35715.7,33731.5,39784.8
1610179200,39664.9,38078.4,36888.4,35698.5,33715.2,39758.3
1610181000,39695.8,38107.9,36917.1,35726.2,33741.4,39770.9
1610182800,39806.1,38213.9,37019.7,35825.5,33835.2,39846.5
1610184600,39903.8,38307.6,37110.5,35913.4,33918.2,39916.4
1610186400,39984.3,38384.9,37185.4,35985.9,33986.7,39976.5
1610188200,40066.7,38464,37262,36060,34056.7,40040.4
1610190000,40167.7,38560.9,37355.9,36150.9,34142.5,40120.7
1610191800,40267.3,38656.6,37448.6,36240.5,34227.2,40202.4
1610193600,40328.7,38715.5,37505.6,36295.8,34279.4,40257
1610195400,40387.1,38771.7,37560,36348.4,34329.1,40310.1
1610197200,40462.4,38843.9,37630,36416.1,34393,40376.7
1610199000,40544.8,38923,37706.7,36490.3,34463.1,40449.9
1610200800,40634.5,39009.1,37790.1,36571,34539.3,40529.6
1610202600,40681,39053.8,37833.3,36612.9,34578.9,40577.5
1610204400,40673,39046.1,37825.9,36605.7,34572,40583.6
1610206200,40655.1,39028.9,37809.3,36589.6,34556.9,40580.4
1610208000,40606,38981.8,37763.6,36545.4,34515.1,40551.6
1610209800,40528.2,38907.1,37691.2,36475.4,34449,40498.5
1610211600,40484.9,38865.5,37651,36436.4,34412.2,40468.9
1610213400,40479.9,38860.7,37646.3,36432,34408,40467
